user,rating,date,review
Светлана Исакова,1 из 5,4 дня назад,"Цены для толстосумов, а не для Россиян. Совсем сдурели, за эти цены можно десять раз отдохнуть в Турции."
Hyunjin khao,2 из 5,неделю назад,"Всё нормально, но цена.. оно не стоит этого"
Екатерина Жерноклюева,2 из 5,месяц назад,"Добрый день .Пишу отзыв ,дала еще не уехав .Мрия стала совсем не та ,уборки нет от слова совсем ,несколько раз приходилось просить шампунь и зубную пасту ,потому что забыли положить .Мне было плохо и я испачкала пастель ,потому что вырвало ,так на м двое не поменяли ее.От предыдущих гостей про въезде оставили огрызки от яблок и я специально не убирала ,думала на какой день после уборки нам его уберут ,но нет .Так же после уборки нам оставили чужой дезодорант -это просто ужас какой-то .Душевая грязная И когда я позвала после у орки горничную,она мне сказала ну одна щетка есть ,что вам не так ?А ты проживаем вдвоем .Подскажите за что мы платим деньги ,чтобы отдыхать вот так ?Можно и дешевле найти отель и отдыхать ,вроде тут хочется сервиса ,но увы …. Надеюсь мой отзыв окажется замеченным и руководство примет меры .Проживаем блок С номер 2502"
Екатерина Подрабинюк,1 из 5,месяц назад,"Самый худший сервис за 32 000₽ в сутки!

Отель, который позиционирует себя как «люксовый», на деле оказался полным провалом.

При заселении сдали всю одежду на экспресс-стирку, так как приехали всего на 2 дня. Доплатили за срочность +50% к стоимости. Как итог – спустя 5,5 часов вещей просто нет.

 Дозвониться до ресепшена удалось только через 20 минут. Объяснили, что у нас нет ни одной вещи, кроме гостиничного халата. Выйти на прогулку? Пойти на ужин? Невозможно.

Нам пообещали «срочно разобраться». Целый час «решали проблему» – и не решили ничего.

 В итоге мы остались голодные, злые и просто заперты в номере.
И за это «удовольствие» отдали 32 000 рублей за сутки.

 Если не хотите оказаться в такой же ситуации – обходите этот отель стороной."
Ирина Новосадова,5 из 5,месяц назад,Без комментариев
Елена Руденко,5 из 5,2 месяца назад,"Отдыхали в годовщину свадьбы 20.01.25.Спасибо за поздравление от отеля - украшен номер , цветы , шампанское, торт , очень приятно. Были первый раз, всё понравилось, обязательно вернёмся . Успехов вам и процветания"
Eugene Lawrence,4 из 5,3 месяца назад,"Отправляли доярку в качестве премии за усердный труд с Хозяйства «Выдоим всё что можно и нельзя», сказала в целом неплохой санаторий для тружеников, единственно что компот был чуть подзабродивший. Хотя вероятно это был особый оттенок вкуса местного сорта винограда. Трудно сказать, но 4 звезды заслуженно дарим."
Elena Zayakina,5 из 5,3 месяца назад,"Была гостем на Гала Ужине от Сбербанка
Море впечатлений и эмоций! Благодарю Мрию и Сбер за приглашение!
Официант Елена (стол 28)  профессионал, таких сотрудников берегите!
Спасибо всем организаторам!"
Милана,3 из 5,3 месяца назад,"Были детские мастер классы, мои дети пришли, а там сидят кобылины, взрослые"
pupok 303,5 из 5,4 месяца назад,"Лучший отель!!!! Почему люди жалуются, все идеально!! Цены все оправдывают!!
Отличный отель ) Точно приеду туда снова )"
Дмитрий Дмитренко,2 из 5,5 месяцев назад,"Впечатления от отдыха остались негативные, началось все при заезде, на ресепшене у работницы буд-то какой-то траур, визуального контакта с клиентом избегают, не приветствуют, встречают на недовольном лице (хотя во всех отелях и гостиницах ресепшен это лицо и именно они создают первое впечатление). Отдыхали в номере 1128 на первом этаже блок В, при звезде в номер обратили внимание на запах урины из туалета, в последствии тот самый туалет а именно сливной бачек ломался два раза (беспрерывно ночью текла вода, чтоб доставляло дискомфорт при попытке заснуть), в первый день вызвали сантехника все исправил, однако на второй день проблема повторилась и пришлось чинить уже самому. Мебель в номере достаточно изношена и уже кое где с повреждениями и потертостями. Сауны и Хамам не в рабочем состоянии должного жара и пара не было. Уборка в номерах посредственная, все в пыли так и осталось, все тот же запах урины как из общественного туалета так и никуда не ушел. Отель позиционирует себя как 5 звезд, однако этого не заметно, разве только визуал и ландшафтный дизайн территории отеля соответствуют. Желания возвращаться за такие деньги больше нет. За два дня отдыха было заплачено 47 000 рублей."
Д Анастасия,5 из 5,5 месяцев назад,"Я оставила очень негативный отзыв о пребывании в отеле, но команда из руководителя службы обратной связи Екатерины, менеджер ресторана Дарьи и менеджера бронирования ресторанов сделали все, чтобы за оставшиеся мои дни пребывание мой отзыв изменился из супер негативного в положительный. Всей команде спасибо за терпение и внимание и максимальные Ваши профессиональные качества. Я за эти дни с помощью Вас посмотрела весь отель и получила максимально положительные эмоции"
Стас Козлов,5 из 5,5 месяцев назад,"Отличный отель, персонал очень вежливо относится"
Ксения Ковалева,3 из 5,6 месяцев назад,"Территорию можно обойти за день,звук перфоратора и разных строительных машин.Сервис нам понравился,местоположение хорошее."
Дмитрий Д,1 из 5,7 месяцев назад,"А теперь немного про это местечко.  Не идеальное место, но что поделать. Посетить можно. Персонал правда там бездушный, но мне, как скуфу алкоголику все нравится в целом. Немного социофоб. Приезжаю отдохнуть один.
Решил недавно посетить это место снова.
Захожу в свой VK, ищу эту группу и барабанная дробь - я заблокирован. ""Оскорбление участников группы""
Начал думать ""А меня за шо?"" и зашел в историю переписок.
Оказывается... В 2023 году эта компания спамила мне в личные сообщения НЕСКОЛЬКО РАЗ без моего согласия с предложением работы за 58.000 рублей и я спросил лишь их - 58000 - это для бомжей?) Что бы понять всю иронию ситуации - день отдыха у них находился в диапозоне 35-40 тысяч тогда, а мне, как клиенту их компании предложили поработать у них за 58 месяцов.
Администратор группы обиделся и заблокировал своего постояльца :D
В итоге поехал не к Вам, всего доброго обидчивые)"
Flau chi Berlin,5 из 5,8 месяцев назад,"Курорт Бомастик в зоне военных действий, здесь каждый день интересен, сможете ли вы это пережить?"
Келгрис Palkin,4 из 5,8 месяцев назад,АНИМАЦИЙ 0! ФИГНЯ АНИМАЦИИ. ОТЕЛЬ В ПРИНЦИПЕ НОРМ. СТОЛОВАЯ НЕМНОГО УХУДШИЛАСЬ (БОЛЕЕ ПРОСТАЯ ЕДА). ТЕРРИТОРИЯ БОЛЬШАЯ.
Людмила Миннекарамова,5 из 5,8 месяцев назад,"Отдыхали в Мрии в июне, уже в третий раз, полны приятных впечатлений и очень хочется вернуться снова! Прекрасный отель, природа, каждый уголок и метр земли возделан с любовью. Да, в этом году ремонт, закрыта песчаная зона, проход на окраину набережной, клумбы частично в процессе благоустройства, но это не испортило наше впечатление от отдыха. Еда вкусная, занятия спортом и плавание, прогулки по красивейшим местам, ароматы цветов, честно, ощущение райского сада. Ещё очень приятно смотреть на наших красивых российских людей-сотрудников отеля. Все максимально доброжелательны и отзывчивы. Ну и парящий мост,винная башня, чистый пляж( если только отдыхающие сами не насвинячат), роскошный бассейн, в котором можно купаться до 22.00 , чередуя плавание и спа( кедровая сауна,финская,хамам, ещё что то есть, но я туда не ходила). Также посещали жемчужные ванны,душ Виши. В общем наслаждение для души и тела!"
Лилия Гуськова,1 из 5,9 месяцев назад,"Крым сейчас не лучшее место для отдыха, а скорее опасное, не знаешь когда и что прилетит. …"
Кристина Кит,1 из 5,9 месяцев назад,"Тихий ужас.. 28.04.24 была с семьёй как косплеер на фестивале сакуры. Персонал относился халатно, при просмотре дефиле просто проехали возле сцены. Еду у родителей оставили, мне сказали отдать родителям или персоналу(на тот момент я уже была в косплее). За билет 1200(детский) и 1800(взрослый) я не нашла ничего достаточно хорошего что входило в билет. Знаю что это была коллаборация мрии и уме феста, но вывозили лишь орги уме феста."
