,name,icon_href,date,text,stars,answer
0,Роман Павлов,https://avatars.mds.yandex.net/get-yapic/26311/0c-2/islands-68,1742437287.522,"Неоднократно всей семьей проживали и приезжали на «день мечты», всегда оставались очень довольны, ставили пять звезд и рекомендовали отель. Но с февраля по непонятной причине закрыли доступ в ресторан AZURR посетителям «дня мечты», хотя в рекламе обещают доступ ко всей инфраструктуре! Что делать людям приехавшим к 8 утра? Ждать пока к обеду откроются другие рестораны и там можно будет позавтракать? Или отправляться в кафе где меню помещается на одном листе? Надеюсь что это временная мера и известный нам уровень сервиса будет восстановлен.",1.0,
1,Анастасия,https://avatars.mds.yandex.net/get-yapic/61207/0o-3/islands-68,1741565949.691,"Добрый день, отдыхаю в отеле не первый раз , но такое отношение еще не видела. Не думала , что в этом отеле встречают по авто . Ранее приезжали на авто премиум класса и отношение было совсем другое , а в этот раз в связи с ремонтом авто , приехали на машине эконом класса ( Kia rio ) , но нас как встретили так и проводили ужасно. Приехали мы из Краснодара ( ехали 8 часов) 08.03.2025 ) на входе , забрав вещи , нам сказали езжайте паркуйте машину на парковку , показав куда, ранее при встречи сотрудники сами парковали авто. Сделав замечание , нам ответили -« могу и я , можете и вы, как хотите» , не стали на этом заострять внимание, мы сами припарковали машину и ушли отдыхать . Основной причиной моего негатива - послужило то , что при выезде выяснилось , что у нас пробито колесо ( полностью пустое) , обратившись на ресепшен , нам вызвали механика. Механик приехал накачал колесо , но причину не устранил , сказав , что нужна шиномонтажка, «у нас есть , но она для своих»( для кого своих не понятно) , он предложил сделать за деньги , мы согласились , но он тут же добавил , что ребята все заняты , сказал ехать делать за пределы отеля. Время было 11:30 , мы собирались еще прогуляться по территории отеля перед дальней дорогой в Краснодар , но планы резко поменяли и нам пришлось ехать искать шиномонтаж и делать колесо самим. Так как мы были еще с маленьким ребенком , это усугубило ситуацию, поэтому обслуживание оставило негативные эмоции об отдыхе .",1.0,"Уважаемая Анастасия!

Благодарим Вас за выбор нашего отеля.

Предоставление высокого уровня сервиса с учетом всех пожеланий Гостей является нашей приоритетной задачей, поэтому обратная связь от Вас очень важна для нас.

Ситуация, которая произошла с Вами является для нас крайне неприятной, ведь мы всегда дорожим Гостями и предъявляем высокие требования к нашему персоналу. Направьте пожалуйста Ваши контактные данные на e-mail: Feedback@mriyaresort.com, наша служба управления обратной связью свяжется с Вами для уточнения деталей.

Искренне надеемся, что Вы предоставите нам возможность показать Вам высокий уровень обслуживания и исключительный сервис нашего Комплекса. Приезжайте к нам снова, а мы постараемся сделать все возможное и невозможное, чтобы отдых у нас пришелся Вам по душе.

С уважением, команда Mriya Resort!"
2,Анна Шадрова,https://avatars.mds.yandex.net/get-yapic/27232/BqjYeSlmTfaxTq3hmgLnX0gak-1/islands-68,1741086658.222,"Худший отдых в моей жизни.

Сейчас нахожусь в отеле. Вернусь домой и подробно опишу все прелести этого места.",1.0,"Уважаемая Анна!

Благодарим Вас за выбор нашего отеля.

Мы признательны Вам за Ваш отзыв. Ведь мы стремимся предоставить нашим гостям сервис самого высокого уровня, поэтому с особым вниманием относимся ко всем отзывам наших гостей. В наш отель приезжают гости, которые ценят высокий сервис от нашей команды, ценность предоставляемых услуг и уютную атмосферу, такие как семьи с маленькими детьми, бизнесмены или же молодожены, отмечающие праздничное событие. 

К сожалению, мы не нашли Ваших данных в базе наших гостей. Будем благодарны, если Вы направите свои контактные данные и никнейм Вашего профиля на email: Feedback@mriyaresort.com, служба заботы о гостях свяжется с Вами для уточнения деталей.

С уважением, команда Mriya Resort!"
3,Вера Исаева,https://avatars.mds.yandex.net/get-yapic/29310/0o-5/islands-68,1740884732.718,"Отдыхали с семьей, в конце февраля начале марта ( Масленица). Некоторые дни просто прожиты зря(за немалые деньги), сервис не такой хороший как описан на сайте. 1. Детский халат несли сутки практически; 2. Уборку в номере один день почти пропустили, если бы мы не стали говорить об этом, так бы и не убрали в номере(хотя заявлено совсем другое); 3. Элементарно не было зубной пасты при заезде, ну как бы это вообще кошмар!!!!; 4. При покупке путевки у нас было так, пару дней мы живем в одном номере, потом переселяемся в другой. Итог, из номера нас выселили, мы пошли на обед и по идеи как было обговорено ранее мы должны были заселится в другой номер; но все пошло непонятно как, нам выселили не предупредили что переезд займет сутки практически, мы сидели в лобби баре весь день. Одежды переодеться и купальников соответственно не было. День оплачен зря!!!! Так как не справился отель с загрузкой видимо. Очень от этого печально. Обещалось одно, предлагается другое по факту. Очень обидно что заявленное не совпадает с действительностью. Сервис евровпейского уровня только на буквах!!!! Я разочарована",1.0,
4,Roman,https://avatars.mds.yandex.net/get-yapic/45131/0f-5/islands-68,1740883834.092,"Отдыхаю сейчас в данном заведении. 
Раньше все вызывало восторг. 
Сейчас тихий ужас. 
1. При бронировании сто раз сообщили что поздравят с др. По итогу поздравили после того как им напомнили после заезда. 
2. Кровать просили не сдвигать и добавить кровать для ребенка. 
По итогу сдвинутые кровати(одна из них без одной ножки) позорище. И не приеесли доп. 
3. Детский халат ждали около 3 часов, так и не принесли. Пришлось звонить с притензией. 
4. Уборку в один день не произвели.
5. На ресепшене недовольные жизнью люди работают. 
5. Заезд был с переездом, так вот выселили нас со своего номера в 12.00, заехать в другой обещали в 14.00. 
Воемя 16.00 и до сих пор все обещают, мы как бомжи скитаемся, ждем пока заселят. 
6. Ручки в дверях кричат «помогите»
В общем какой-то кошмар. Где прежний сервис??? Я не сотрудник сбера, у меня нет никаких льгот. Я заплатил круглую сумму и не получил достойного сервиса. Кстати да, ранее прикрепляли премиум сервис, сейчас и того нет. Об услугах ничего не знаем, пока сам не пойдкшь интереслваться. А ка же ваши доп продажи?! Мне вот без такого сервиса непонятно что туь можно делать, куда поехать. 
Короче говоря, все превращается в какой-то типичный региональный отель выходного дня. 

Анимация взрослая как всегда вау. Ребята кайфуют от своей работы. Детская-уровень анапчкого отеля. В расписании аква гримм, по факту обсуждают между собой как не умеют рисовать. 
Обидно.",1.0,
5,Женя Уланов,https://avatars.mds.yandex.net/get-yapic/45131/ipwxsQ7CzrpoSxg2ed6OIGzUER8-1/islands-68,1740793839.49,"Персонал 
Девочки вообще молодцы ! 

А сам отель за 30 р сутки 
Это полное дно 
Одно из худших вложений",1.0,"Уважаемый Евгений!

Благодарим Вас за выбор нашего отеля.

Мы признательны Вам за Ваш отзыв. Ведь мы стремимся предоставить нашим гостям сервис самого высокого уровня, поэтому с особым вниманием относимся ко всем отзывам наших гостей. В наш отель приезжают гости, которые ценят высокий сервис от нашей команды, ценность предоставляемых услуг и уютную атмосферу, такие как семьи с маленькими детьми, бизнесмены или же молодожены, отмечающие праздничное событие. 

К сожалению, мы не нашли Ваших данных в базе наших гостей. Будем благодарны, если Вы направите свои контактные данные и никнейм Вашего профиля на email: Feedback@mriyaresort.com, служба заботы о гостях свяжется с Вами для уточнения деталей.

С уважением, команда Mriya Resort!"
6,осина е.,https://avatars.mds.yandex.net/get-yapic/61207/0a-3/islands-68,1740694431.081,"Взяли за трехлетнего ребенка билет,хотя написано на сайте что дети до трёх лет включительно бесплатно 
Приехали на улице больше пяти градусов аттракционы не работают,не понимаю за что взяли деньги 
Ужас и испорченное настроение,где детям провести время? За 1700 детская комната в которой толком игрушек нет , скучно 
Аниматоры не о чем",1.0,"Уважаемая Екатерина!

Благодарим Вас за выбор нашего отеля. 

Предоставление высокого уровня сервиса с учетом всех пожеланий Гостей является нашей приоритетной задачей, поэтому обратная связь от Вас очень важна для нас.

Детский билет в Парк Дримвуд приобретается для всех детей выше 95 см и до 18 лет.

При температуре ниже +5° и неблагоприятных погодных условиях аттракционы могут не работать. Температура воздуха в день Вашего визита составляла +2°. В первую очередь данное ограничение обусловлено безопасностью и комфортом гостей. 
В период Вашего посещения в парке проходили масленичные гуляния, много активностей и мастер-классов, которые включены в стоимость посещения. 

Для самых юных исследователей в нашем парке в Куполе находится интерактивная площадка Лес чудес с множеством активностей, развивающими мелкую моторику, воображение и память. На территории парка также есть Тропа открытий с уличными музыкальными инструментами и аттракционами, развивающими чувство баланса и равновесия.

Будем благодарны, если Вы направите свои контактные данные и никнейм Вашего профиля на email: Feedback@mriyaresort.com, служба заботы о гостях свяжется с Вами для уточнения деталей.

С уважением, команда Mriya Resort!"
7,Анна С.,https://avatars.mds.yandex.net/get-yapic/63032/kd75ZN1KldKxdCyc1YvaEe1GGZ8-1/islands-68,1740289602.104,"Была зимой не понравилось 
Без комментариев 
Еще и Грязно 
Не соответствует пяти звёздам максимум 3 звезды",1.0,"Уважаемая Анна!

Благодарим Вас за выбор нашего отеля.

Прежде всего, разрешите поблагодарить Вас за то, что нашли время и поделились с нами отзывом о Вашем пребывании. Для нас очень важно получать объективную обратную связь от наших гостей для улучшения сервиса. Нам важно знать не только положительные стороны отдыха гостей, но и отрицательные моменты, которые позволят нам принять конструктивные решения для их исправления.

Будем благодарны, если Вы направите свои контактные данные и никнейм Вашего профиля на email: Feedback@mriyaresort.com, служба заботы о гостях свяжется с Вами для уточнения деталей.

С уважением, команда Mriya Resort!"
8,Денис Иванов,https://avatars.mds.yandex.net/get-yapic/28439/enc-398e030f07e35c4e6e0822011993b7c59b7cf033a033a06fae243dc920497ed6/islands-68,1739089399.873,"Забронировали в сентябре 2024года на июнь 25го... Внесли предоплату в размере 23т.р. Справедливости ради оговорюсь, что по условиям тарифа предоплата возврату не подлежит. Как говорится хочешь рассмешить бога расскажи ему о своих планах..Так получилось и тут. Стали проблемы со здоровьем и я, в ноябре месяце, написал в отдел бронирования просьбу вернуть предоплату, так как планы в жизни уже изменились. Надеялся, что мне пойдут на встречу, до июня ещё очень много времени и эти путевки они смогут продать без проблем, но ..мне было отказано. В январе месяце, перед тем как лечь в больницу, я вновь позвонил , объяснил ситуацию и попросил вернуть мне предоплату, на что менеджер отдела бронирования затребовала у меня медицинские документы для подтверждения!!! Я конечно отказался высылать ей какие либо медицинские документы по вполне понятным причинам..Надеюсь моя предоплата пойдет на пользу Грефу и Мрии.",1.0,
9,Елена Пономаренко,https://avatars.mds.yandex.net/get-yapic/37154/8goCtShN5z4a65mTvK5oCZec-1/islands-68,1739058340.675,"Превратили 5 звездночный отель в 2 звездночный. 
Отдыхаем 10 лет, и то, во что превращается отель - смотреть очень печально. Контингент-сотрудники сбера в спортивных костюмах … 
Платишь башенные деньги за то, чтобы в ресторане бороться за столик и стоять в очереди, не дозваться официантов. 
На рецепшене какой то сюр….
Мы оплатили помыть машину, взяли с нас 3000 рублей, в итоге забираем машину - она не помыта. Просим списать бонусы на карту лояльности, у нас silver уровень, в итоге наш ID не нашли и вообще приписали чужой номер. 
Настроение испортили. 
Наш любимый отель стал Интуристом …
Надеюсь, руководство очнутся и поймут, что забить отель сотрудниками - это не лучший вариант. Люди, которые оставляют деньги - не захотят находиться в таких условиях с таким сервисом. Проще отдохнуть в Дубаи за те же деньги.",1.0,"Уважаемая Елена!

Благодарим Вас за выбор нашего отеля.

Предоставление высокого уровня сервиса с учетом всех пожеланий Гостей является нашей приоритетной задачей, поэтому обратная связь от Вас очень важна для нас.

Ситуация, которая произошла с Вами является для нас крайне неприятной, ведь мы всегда дорожим Гостями и предъявляем высокие требования к нашему персоналу. Направьте пожалуйста Ваши контактные данные на e-mail: Feedback@mriyaresort.com, наша служба управления обратной связью свяжется с Вами для уточнения деталей.

Искренне надеемся, что Вы предоставите нам возможность показать Вам высокий уровень обслуживания и исключительный сервис нашего Комплекса. Приезжайте к нам снова, а мы постараемся сделать все возможное и невозможное, чтобы отдых у нас пришелся Вам по душе.

С уважением, команда Mriya Resort!"
10,vi056rus056,https://avatars.mds.yandex.net/get-yapic/61207/0h-9/islands-68,1738654382.271,Расчёт на доверчивых граждан.,1.0,"Уважаемый vi056rus056!

Благодарим Вас за выбор нашего отеля.

Мы признательны Вам за Ваш отзыв. Ведь мы стремимся предоставить нашим гостям сервис самого высокого уровня, поэтому с особым вниманием относимся ко всем отзывам наших гостей. В наш отель приезжают гости, которые ценят высокий сервис от нашей команды, ценность предоставляемых услуг и уютную атмосферу, такие как семьи с маленькими детьми, бизнесмены или же молодожены, отмечающие праздничное событие. 

К сожалению, мы не нашли Ваших данных в базе наших гостей. Будем благодарны, если Вы направите свои контактные данные и никнейм Вашего профиля на email: Feedback@mriyaresort.com, служба заботы о гостях свяжется с Вами для уточнения деталей.

С уважением, команда Mriya Resort!"
11,Александр К.,https://avatars.mds.yandex.net/get-yapic/33202/enc-eb21ab492d0b36c46c8e6ca699b4666198eee9008467e0d4eb455d6405be2647/islands-68,1738466167.747,"Отличное Архитектурное решение, и все прекрасно, но персонал должен работать как швейцарские часы, точно и надёжно с репутацией, и дорого и красиво. Спасибо. p/s И стремитесь к получить ***** по системе ОАЭ.",1.0,"Уважаемый Александр!

Благодарим Вас за выбор нашего отеля.

Прежде всего, разрешите поблагодарить Вас за то, что нашли время и поделились с нами отзывом о Вашем пребывании. Для нас очень важно получать объективную обратную связь от наших гостей для улучшения сервиса. Нам важно знать не только положительные стороны отдыха гостей, но и отрицательные моменты, которые позволят нам принять конструктивные решения для их исправления.

Будем благодарны, если Вы направите свои контактные данные и никнейм Вашего профиля на email: Feedback@mriyaresort.com, служба заботы о гостях свяжется с Вами для уточнения деталей.

Мы искренне надеемся, что Вы предоставите нам возможность показать Вам высокий уровень обслуживания и исключительный сервис нашего Комплекса. Приезжайте к нам снова, а мы постараемся сделать все возможное и невозможное, чтобы отдых у нас пришелся Вам по душе. Чтобы Вы полюбили нашу кухню, попробовали местные вина, и чтобы в следующий приезд Вы уехали только с самыми позитивными эмоциями.

С уважением, команда Mriya Resort!"
12,Ангелина П.,https://avatars.mds.yandex.net/get-yapic/53031/0a-1/islands-68,1738306585.72,"Приезжали посетить винный парк , заплатили на ресепшене входной билет , отвезли нас в парк, но его мы так и не посетили , так как на экскурсию нас не пустили ( нельзя с детьми до 7 лет ) , видимо на ресепшене не заметили , что мы с ребенком до года ! Странное поведение персонала ! Когда мы быстро вернулись назад они так и не уточнили в чем дело , видимо это в порядке вещей.",1.0,"Уважаемая Ангелина!

Благодарим Вас за выбор нашего отеля.

Предоставление высокого уровня сервиса с учетом всех пожеланий Гостей является нашей приоритетной задачей, поэтому обратная связь от Вас очень важна для нас.

Ситуация, которая произошла с Вами является для нас крайне неприятной, ведь мы всегда дорожим Гостями и предъявляем высокие требования к нашему персоналу. Направьте пожалуйста Ваши контактные данные на e-mail: Feedback@mriyaresort.com, наша служба управления обратной связью свяжется с Вами для уточнения деталей.

Искренне надеемся, что Вы предоставите нам возможность показать Вам высокий уровень обслуживания и исключительный сервис нашего Комплекса. Приезжайте к нам снова, а мы постараемся сделать все возможное и невозможное, чтобы отдых у нас пришелся Вам по душе.

С уважением, команда Mriya Resort!"
13,наталья малоштанова,https://avatars.mds.yandex.net/get-yapic/68143/0g-8/islands-68,1738316729.489,Все отлично. Хромает только уборка номера и это портит общее впечатление.,1.0,"Уважаемая Наталья!

Благодарим Вас за выбор нашего отеля. 

Предоставление высокого уровня сервиса с учетом всех пожеланий Гостей является нашей приоритетной задачей, поэтому обратная связь от Вас очень важна для нас.

Нам очень жаль, что качество уборки в номере не соответствовало Вашим ожиданиям – руководителю соответствующего департамента направлены комментарии в работу, с сотрудниками будут проведены разъяснительные беседы, а также организованы дополнительные тренинги по стандартам.

Мы готовы уточнить все детали и вернуться к Вам с обратной связью. Будем благодарны, если Вы направите свои контактные данные и никнейм Вашего профиля на email: Feedback@mriyaresort.com, служба заботы о гостях свяжется с Вами для уточнения деталей.

С уважением, команда Mriya Resort!"
