model,dataset,accuracy,f1,f1_weighted,f1_macro,classification_report,confusion_matrix
blanchefort/rubert-base-cased-sentiment,tg_messages_mriya,0.4281437125748503,0.073394495412844036,0.4740880776498843,0.36000229334008327,"              precision    recall  f1-score   support

           0       0.83      0.31      0.45       227
           1       0.47      0.69      0.56       100
           2       0.04      0.57      0.07         7

    accuracy                           0.43       334
   macro avg       0.45      0.52      0.36       334
weighted avg       0.71      0.43      0.47       334
","[[229, 98], [3, 4]]"
blanchefort/rubert-base-cased-sentiment,sentiment_of_bank_reviews,0.18815629687834845,0.0,0.16168599044297072,0.10778296096243556,"              precision    recall  f1-score   support

           0       0.00      0.00      0.00         0
           1       0.28      0.38      0.32      7000
           2       0.00      0.00      0.00      6999

    accuracy                           0.19     13999
   macro avg       0.09      0.13      0.11     13999
weighted avg       0.14      0.19      0.16     13999
","[[7000, 0], [6999, 0]]"
blanchefort/rubert-base-cased-sentiment,rutweetcorp,0.004434961249195447,0.0,0.004475820134077199,0.0029450855714227165,"              precision    recall  f1-score   support

           0       0.00      0.00      0.00         0
           1       0.01      0.01      0.01    114911
           2       0.00      0.00      0.00    111923

    accuracy                           0.00    226834
   macro avg       0.00      0.00      0.00    226834
weighted avg       0.00      0.00      0.00    226834
","[[114911, 0], [111923, 0]]"
blanchefort/rubert-base-cased-sentiment,rureviews,0.7646,0.7584980343319685,0.764956151775636016,0.7584980343319684,"              precision    recall  f1-score   support

           0       0.74      0.54      0.62     20000
           1       0.90      0.88      0.89     20000
           2       0.68      0.88      0.76     20000

    accuracy                           0.76     60000
   macro avg       0.77      0.76      0.76     60000
weighted avg       0.77      0.76      0.76     60000
","[[31552, 8448], [2380, 17620]]"
blanchefort/rubert-base-cased-sentiment,rusentiment,0.6521725188391855,0.57771592893711402,0.6672909795733531,0.6259025797844731,"              precision    recall  f1-score   support

           0       0.92      0.58      0.71     20627
           1       0.48      0.77      0.59      6646
           2       0.44      0.85      0.58      3912

    accuracy                           0.65     31185
   macro avg       0.61      0.73      0.63     31185
weighted avg       0.76      0.65      0.67     31185
","[[23009, 4264], [591, 3321]]"
blanchefort/rubert-base-cased-sentiment,ru_sentiment_monohime,0.6092166666666666,0.591161473087818696,0.5818094746798939,0.5413672987330722,"              precision    recall  f1-score   support

           0       0.52      0.22      0.31     15608
           1       0.67      0.79      0.73     28663
           2       0.53      0.66      0.59     15729

    accuracy                           0.61     60000
   macro avg       0.57      0.56      0.54     60000
weighted avg       0.59      0.61      0.58     60000
","[[34684, 9137], [5295 10434]]"
seara/rubert-tiny2-russian-sentiment,tg_messages_mriya,0.6107784431137725,0.3333333333333333,0.6177167595128832,0.5197504416131092,"              precision    recall  f1-score   support

           0       0.86      0.51      0.64       227
           1       0.44      0.86      0.59       100
           2       0.40      0.29      0.33         7

    accuracy                           0.61       334
   macro avg       0.57      0.55      0.52       334
weighted avg       0.73      0.61      0.62       334
","[[324, 3], [5, 2]]"
seara/rubert-tiny2-russian-sentiment,sentiment_of_bank_reviews,0.8154153868133438,0.836662452591656131,0.8122365270787335,0.8122382717876987,"              precision    recall  f1-score   support

           0       0.93      0.69      0.79      7000
           1       0.75      0.95      0.84      6999

    accuracy                           0.82     13999
   macro avg       0.84      0.82      0.81     13999
weighted avg       0.84      0.82      0.81     13999
","[[4797, 2203], [381, 6618]]"
seara/rubert-tiny2-russian-sentiment,rutweetcorp,0.8081666666666667,0.819784555646019916,0.8072025797489402,0.8073660895525048,"              precision    recall  f1-score   support

           0       0.87      0.73      0.79     30395
           1       0.76      0.88      0.82     29605

    accuracy                           0.81     60000
   macro avg       0.82      0.81      0.81     60000
weighted avg       0.82      0.81      0.81     60000
","[[22311, 8084], [3426, 26179]]"
seara/rubert-tiny2-russian-sentiment,rureviews,0.7902833333333333,0.762741010943199583,0.7926101575915719,0.7926101575915719,"              precision    recall  f1-score   support

           0       0.67      0.76      0.71     20000
           1       0.93      0.88      0.90     20000
           2       0.80      0.73      0.76     20000

    accuracy                           0.79     60000
   macro avg       0.80      0.79      0.79     60000
weighted avg       0.80      0.79      0.79     60000
","[[36257, 3743], [5363, 14637]]"
